job,stage,condition,seed,metric,value,source
upsampling/s256_n3000_transpose_conv_seed42,upsampling,s256_n3000_transpose_conv,42,final_val_mse,0.037468279143174486,jobs/upsampling/s256_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n3000_locality_aware_seed42,upsampling,s256_n3000_locality_aware,42,test_mse,0.011476517299811046,jobs/upsampling/s256_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n3000_locality_aware_seed42,upsampling,s256_n3000_locality_aware,42,test_ssim,0.8873072787920634,jobs/upsampling/s256_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n3000_locality_aware_seed42,upsampling,s256_n3000_locality_aware,42,best_val_mse,0.011446249276399612,jobs/upsampling/s256_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n3000_locality_aware_seed42,upsampling,s256_n3000_locality_aware,42,final_val_mse,0.011507394716143609,jobs/upsampling/s256_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_transpose_conv_seed42,upsampling,s256_n6000_transpose_conv,42,test_mse,0.035910236080487566,jobs/upsampling/s256_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_transpose_conv_seed42,upsampling,s256_n6000_transpose_conv,42,test_ssim,0.7060413862864177,jobs/upsampling/s256_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_transpose_conv_seed42,upsampling,s256_n6000_transpose_conv,42,best_val_mse,0.03558227741718292,jobs/upsampling/s256_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_transpose_conv_seed42,upsampling,s256_n6000_transpose_conv,42,final_val_mse,0.03628561956683795,jobs/upsampling/s256_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_locality_aware_seed42,upsampling,s256_n6000_locality_aware,42,test_mse,0.011210827199121316,jobs/upsampling/s256_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_locality_aware_seed42,upsampling,s256_n6000_locality_aware,42,test_ssim,0.888037218093872,jobs/upsampling/s256_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_locality_aware_seed42,upsampling,s256_n6000_locality_aware,42,best_val_mse,0.01116036303093036,jobs/upsampling/s256_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n6000_locality_aware_seed42,upsampling,s256_n6000_locality_aware,42,final_val_mse,0.011186962959667047,jobs/upsampling/s256_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n600_transpose_conv_seed42,upsampling,s512_n600_transpose_conv,42,test_mse,0.03548253922661145,jobs/upsampling/s512_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n600_transpose_conv_seed42,upsampling,s512_n600_transpose_conv,42,test_ssim,0.7031991271972656,jobs/upsampling/s512_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n600_transpose_conv_seed42,upsampling,s512_n600_transpose_conv,42,best_val_mse,0.035154481361309685,jobs/upsampling/s512_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n600_transpose_conv_seed42,upsampling,s512_n600_transpose_conv,42,final_val_mse,0.03516868116458257,jobs/upsampling/s512_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s512_n600_locality_aware_seed42,upsampling,s512_n600_locality_aware,42,test_mse,0.014902191472550234,jobs/upsampling/s512_n600_locality_aware_seed42/attempt_002/metrics/run_summary.json
upsampling/s512_n600_locality_aware_seed42,upsampling,s512_n600_locality_aware,42,test_ssim,0.8578601894378662,jobs/upsampling/s512_n600_locality_aware_seed42/attempt_002/metrics/run_summary.json
upsampling/s512_n600_locality_aware_seed42,upsampling,s512_n600_locality_aware,42,best_val_mse,0.01484434867153565,jobs/upsampling/s512_n600_locality_aware_seed42/attempt_002/metrics/run_summary.json
