/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[swinir_with_li] step 19100/20000 g=1.2277 pix=0.0311 1.86 it/s
[swinir_with_li] step 19200/20000 g=1.3309 pix=0.0307 1.86 it/s
[swinir_with_li] step 19300/20000 g=1.4003 pix=0.0389 1.86 it/s
[swinir_with_li] step 19400/20000 g=1.6185 pix=0.0475 1.86 it/s
[swinir_with_li] step 19500/20000 g=1.4549 pix=0.0425 1.86 it/s
[swinir_with_li] step 19600/20000 g=1.3590 pix=0.0343 1.86 it/s
[swinir_with_li] step 19700/20000 g=1.2773 pix=0.0312 1.86 it/s
[swinir_with_li] step 19800/20000 g=1.8605 pix=0.0579 1.86 it/s
[swinir_with_li] step 19900/20000 g=1.3310 pix=0.0390 1.86 it/s
[swinir_with_li] step 20000/20000 g=1.2339 pix=0.0355 1.86 it/s
[swinir_with_li] step 20000 VAL_L1=0.04896 (best 0.04814@15000)
[swinir_with_li/final] Set5: PSNR 27.12 SSIM 0.7769 (105 tiles, 5 imgs)
[swinir_with_li/final] Set14: PSNR 25.05 SSIM 0.6876 (668 tiles, 14 imgs)
[swinir_with_li/final] BSD100: PSNR 24.89 SSIM 0.6246 (3500 tiles, 100 imgs)
[swinir_with_li/final] Urban100: PSNR 24.02 SSIM 0.6484 (18221 tiles, 100 imgs)
[swinir_with_li/final] Manga109: PSNR 26.10 SSIM 0.7834 (23504 tiles, 109 imgs)
[swinir_with_li/best] Set5: PSNR 27.45 SSIM 0.7768 (105 tiles, 5 imgs)
[swinir_with_li/best] Set14: PSNR 25.17 SSIM 0.6882 (668 tiles, 14 imgs)
[swinir_with_li/best] BSD100: PSNR 25.12 SSIM 0.6279 (3500 tiles, 100 imgs)
[swinir_with_li/best] Urban100: PSNR 23.90 SSIM 0.6434 (18221 tiles, 100 imgs)
[swinir_with_li/best] Manga109: PSNR 26.09 SSIM 0.7799 (23504 tiles, 109 imgs)
